voter_id,rank_1,rank_2,rank_3,rank_4,rank_5
1,A,B,C,D,E
2,A,B,C,E,D
3,A,C,B,D,E
4,A,C,B,E,D
5,A,B,D,C,E
6,A,C,D,B,E
7,A,D,B,C,E
8,A,D,C,B,E
9,A,E,B,C,D
10,A,E,C,B,D
11,B,C,A,D,E
12,B,C,A,E,D
13,B,A,C,D,E
14,B,A,C,E,D
15,B,C,D,A,E
16,B,C,E,A,D
17,B,D,C,A,E
18,B,E,C,A,D
19,C,A,B,D,E
20,C,A,B,E,D
21,C,B,A,D,E
22,C,B,A,E,D
23,C,A,D,B,E
24,C,A,E,B,D
25,C,D,A,B,E
26,C,E,A,B,D
27,D,E,A,B,C
28,D,E,B,A,C
29,D,A,E,B,C
30,D,B,E,A,C
31,D,A,B,E,C
32,D,B,A,E,C
33,E,A,B,C,D
34,E,B,A,C,D
35,E,A,C,B,D
36,E,C,A,B,D
37,E,B,C,A,D
38,E,C,B,A,D
39,A,B,E,C,D
40,B,C,A,E,D
41,C,A,B,E,D
42,B,A,C,E,D
43,C,B,A,E,D
44,A,C,B,E,D
45,B,C,A,D,E
46,C,B,A,D,E
47,A,B,C,E,D
48,B,A,C,D,E
49,C,A,B,D,E
50,D,A,B,C,E
51,E,B,A,C,D
